lat,lng
-23.475492877048318,-46.75434925163832
-23.570739645175678,-46.714027156029545
-23.452846719284896,-46.51790595923151
-23.3215455215388,-46.538444460184984
-23.5851230062085,-46.63313523909463
-23.585120543542377,-46.612400892503686
-23.31311807767389,-46.43835026563174
-23.434884790627063,-46.718735708325376
-23.620421157890245,-46.5479353928245
-23.468615993462105,-46.660328897865085
-23.61951265392187,-46.66265218048409
-23.61985946303554,-46.46518347220192
-23.513705659265096,-46.5061875476518
-23.83699203669867,-46.50797355459991
-23.808737674876955,-46.43417817892686
-23.634343129386146,-46.62684942375509
-23.701924668050165,-46.52770705430576
-23.50286290011071,-46.676540013489024
-23.68620361132818,-46.581375047126734
-23.761845555200296,-46.64952145815516
-23.33015268466177,-46.6154506052511
-23.58386644507298,-46.540726446184465
-23.53987076929681,-46.752733102485024
-23.763712227932018,-46.31614190864718
-23.631657408678777,-46.78090260722496
-23.53336161154352,-46.812128291918164
-23.722649036613348,-46.456283368974994
-23.49364529724815,-46.511250595905565
-23.64009580348782,-46.53638202744218
-23.593754062468992,-46.53574817361036
-23.64025599183441,-46.63183701592704
-23.27215827232366,-46.764588155722876
-23.55202458371069,-46.61862931627094
-23.708656639343385,-46.731574256726816
-23.426618263184523,-46.48373203998734
-23.733126547495655,-46.65205860722532
-23.518670460749288,-46.75382457951888
-23.843950518581966,-46.67820787624795
-23.749227907334767,-46.568060281858656
-23.52047081461963,-46.7145586829206
-23.43923001300069,-46.75333305933497
-23.524294757821504,-46.593446918276214
-23.567347242358238,-46.59325501433369
-23.595165554338394,-46.70604147630567
-23.771778298555116,-46.70065574584275
-23.657976631259206,-46.595192509396355
-23.61909581564397,-46.8472126512246
-23.391431666067163,-46.841119566156486
-23.49845725656473,-46.73776663318787
-23.814456023304412,-46.66201707275678
-23.50138740459078,-46.5833638651603
-23.607762342062447,-46.40869656745757
-23.651538300045896,-46.5013510565197
-23.45824855667387,-46.653990779494514
-23.395350071625607,-46.632852431185405
-23.410307982132572,-46.78037940469567
-23.675882628483397,-46.63277697039886
-23.596381856377683,-46.67329879583802
-23.500310485289464,-46.581592215949286
-23.403668230931647,-46.75408464153285
-23.621876135676793,-46.552098022863824
-23.577848846499574,-46.400089163049614
-23.715950246100906,-46.646314022268534
-23.7294309936121,-46.56974324168516
-23.42812112664087,-46.52647840124334
-23.346563995714376,-46.69018307078288
-23.56080151823705,-46.59638612772844
-23.399470065316198,-46.62811113988273
-23.495754596242854,-46.615348585217674
-23.64676796319077,-46.74595146757832
-23.49579065917374,-46.62632347386116
-23.319294515030105,-46.55530025631319
-23.555373905866492,-46.41232845883074
-23.3153034516279,-46.48610937608722
-23.94296176561346,-46.30702263137327
-23.426714624343717,-46.74510213443321
-23.536942939764273,-46.4991519044919
-23.59485110256988,-46.60249869913925
-23.536235883519677,-46.30152956001735
-23.848135337190136,-46.75124474280327
-23.582950783175626,-46.75595827632712
-23.496433114273238,-46.719908896816605
-23.328315893288774,-46.94858435864647
-23.627740532741047,-46.70886325325212
-23.67127404043398,-46.743869899233054
-23.625263556537682,-46.607440932028574
-23.41268968234469,-46.57873660363343
-23.50068733355105,-46.34857437411762
-23.629464030565057,-46.4874364242721
-23.473009885032997,-46.71653554834936
-23.535438367597795,-46.76476220070226
-23.404703251420067,-46.556212124274026
-23.655307964081604,-46.8280349810531
-23.599149321989668,-46.35528118512185
-23.608816222969825,-46.45308398189181
-23.76952724221982,-46.700376347815705
-23.505581958440313,-46.88697017936364
-23.510841709173018,-46.42691914387519
-23.549232981503632,-46.647180976787894
-23.58518807000627,-46.44432755320398
-23.762305611307564,-46.86916414881916
-23.613096798414805,-46.71990625344307
-23.601407177479015,-46.629213445042275
-23.670341590383245,-46.62295291093529
-23.574192856749903,-46.69750982072189
-23.48939237147782,-46.53657251014788
-23.267072114818422,-46.79014306440739
-23.523813328075224,-46.651356922753195
-23.511367441391585,-46.611955655243214
-23.561166887364926,-46.55283417489119
-23.837815682294856,-46.52325776828667
-23.553977081317385,-46.798696313775686
-23.540965468508848,-46.860117125610344
-23.18051368312721,-46.43834847671523
-23.57885414471717,-46.58015289820306
-23.50476789864996,-46.742272980483484
-23.555206765455786,-46.39732720367162
-23.72530170564293,-46.61264880485607
-23.37857657782275,-46.45310542239043
-23.437210045096986,-46.619872227788484
-23.431345207943544,-46.3208878112677
-23.686408118219212,-46.366698873633524
-23.339580853359585,-46.66734462227186
-23.760277659418843,-46.48426435735685
-23.46197143592996,-46.53319360756223
-23.221431656128505,-46.424705266370154
-23.698580448769604,-46.774738519087016
-23.634944659440418,-46.527092281000236
-23.535052295236856,-46.471236326972566
-23.62552134811743,-46.89381092296347
-23.78259951465992,-46.807488776899866
-23.539715553779097,-46.935884826664015
-23.709345557058917,-46.670411025166686
